Date : 2025-05-06 22:56:26
Directory : f:\class_code\embedded_system\keil\experient4
Total : 334 files,  147747 codes, 68603 comments, 23366 blanks, all 239716 lines

Languages
+---------------+------------+------------+------------+------------+------------+
| language      | files      | code       | comment    | blank      | total      |
| f:\class_code\embedded_system\keil\experient4\EMWIN\Demo\GUIDEMO_ZoomAndRotate.c                                 | C             |     10,263 |        199 |         33 |     10,495 |
| f:\class_code\embedded_system\keil\experient4\EMWIN\Demo\test.c                                                  | C             |      3,377 |        260 |        140 |      3,777 |
| f:\class_code\embedded_system\keil\experient4\EMWIN\STemWin\Config\GUIConf.c                                     | C             |         21 |          3 |          5 |         29 |
| f:\class_code\embedded_system\keil\experient4\EMWIN\STemWin\Config\GUIConf.h                                     | CUDA C++      |         12 |          0 |          4 |         16 |
| f:\class_code\embedded_system\keil\experient4\EMWIN\STemWin\Config\GUIDRV_Template.c                             | C             |        509 |        376 |         53 |        938 |
| f:\class_code\embedded_system\keil\experient4\EMWIN\STemWin\Config\GUIDRV_Template.h                             | CUDA C++      |          5 |         62 |          7 |         74 |
| f:\class_code\embedded_system\keil\experient4\EMWIN\STemWin\Config\GUI_X_Touch_Analog.c                          | C             |         36 |         34 |          8 |         78 |
| f:\class_code\embedded_system\keil\experient4\EMWIN\STemWin\Config\LCDConf.h                                     | CUDA C++      |          3 |          0 |          4 |          7 |
| f:\class_code\embedded_system\keil\experient4\EMWIN\STemWin\Config\LCDConf_FlexColor_Template.c                  | C             |         97 |          9 |         13 |        119 |
| f:\class_code\embedded_system\keil\experient4\EMWIN\STemWin\Config\LCDConf_FlexColor_Template.h                  | CUDA C++      |          3 |         52 |          5 |         60 |
| f:\class_code\embedded_system\keil\experient4\EMWIN\STemWin\Config\LCDConf_Lin_Template.c                        | C             |         92 |        158 |         13 |        263 |
| f:\class_code\embedded_system\keil\experient4\EMWIN\STemWin\Config\LCDConf_Lin_Template.h                        | CUDA C++      |          3 |         52 |          5 |         60 |
| f:\class_code\embedded_system\keil\experient4\EMWIN\STemWin\OS\GUI_X.c                                           | C             |         14 |         95 |         15 |        124 |
| f:\class_code\embedded_system\keil\experient4\EMWIN\STemWin\OS\GUI_X_UCOSIII.c                                   | C             |        102 |         66 |         26 |        194 |
| f:\class_code\embedded_system\keil\experient4\EMWIN\STemWin\inc\BUTTON.h                                         | CUDA C++      |         96 |        111 |         24 |        231 |
| f:\class_code\embedded_system\keil\experient4\EMWIN\STemWin\inc\BUTTON_Private.h                                 | CUDA C++      |         52 |         81 |         17 |        150 |
| f:\class_code\embedded_system\keil\experient4\EMWIN\STemWin\inc\CALENDAR.h                                       | CUDA C++      |         52 |        100 |         20 |        172 |
| f:\class_code\embedded_system\keil\experient4\EMWIN\STemWin\inc\CHECKBOX.h                                       | CUDA C++      |         80 |        113 |         26 |        219 |
| f:\class_code\embedded_system\keil\experient4\EMWIN\STemWin\inc\CHECKBOX_Private.h                               | CUDA C++      |         67 |         88 |         22 |        177 |
| f:\class_code\embedded_system\keil\experient4\EMWIN\STemWin\inc\CHOOSECOLOR.h                                    | CUDA C++      |         49 |         84 |         17 |        150 |
| f:\class_code\embedded_system\keil\experient4\EMWIN\STemWin\inc\CHOOSEFILE.h                                     | CUDA C++      |         55 |         73 |         17 |        145 |
| f:\class_code\embedded_system\keil\experient4\EMWIN\STemWin\inc\DIALOG.h                                         | CUDA C++      |         47 |         56 |         11 |        114 |
| f:\class_code\embedded_system\keil\experient4\EMWIN\STemWin\inc\DIALOG_Intern.h                                  | CUDA C++      |         34 |         74 |         13 |        121 |
| f:\class_code\embedded_system\keil\experient4\EMWIN\STemWin\inc\DROPDOWN.h                                       | CUDA C++      |         95 |        107 |         22 |        224 |
| f:\class_code\embedded_system\keil\experient4\EMWIN\STemWin\inc\DROPDOWN_Private.h                               | CUDA C++      |         59 |         81 |         18 |        158 |
| f:\class_code\embedded_system\keil\experient4\EMWIN\STemWin\inc\EDIT.h                                           | CUDA C++      |         89 |        133 |         20 |        242 |
| f:\class_code\embedded_system\keil\experient4\EMWIN\STemWin\inc\EDIT_Private.h                                   | CUDA C++      |         56 |         82 |         18 |        156 |
| f:\class_code\embedded_system\keil\experient4\EMWIN\STemWin\inc\FRAMEWIN.h                                       | CUDA C++      |        123 |        137 |         29 |        289 |
| f:\class_code\embedded_system\keil\experient4\EMWIN\STemWin\inc\FRAMEWIN_Private.h                               | CUDA C++      |        108 |        114 |         27 |        249 |
| f:\class_code\embedded_system\keil\experient4\EMWIN\STemWin\inc\GRAPH.h                                          | CUDA C++      |         91 |         95 |         26 |        212 |
| f:\class_code\embedded_system\keil\experient4\EMWIN\STemWin\inc\GRAPH_Private.h                                  | CUDA C++      |         82 |         75 |         17 |        174 |
| f:\class_code\embedded_system\keil\experient4\EMWIN\STemWin\inc\GUI.h                                            | CUDA C++      |      1,549 |        511 |        195 |      2,255 |
| f:\class_code\embedded_system\keil\experient4\EMWIN\STemWin\inc\GUIDRV_DCache.h                                  | CUDA C++      |         22 |         66 |         18 |        106 |
| f:\class_code\embedded_system\keil\experient4\EMWIN\STemWin\inc\GUIDRV_DCache_Private.h                          | CUDA C++      |         41 |         95 |         11 |        147 |
| f:\class_code\embedded_system\keil\experient4\EMWIN\STemWin\inc\GUIDRV_Dist.h                                    | CUDA C++      |         20 |         66 |         18 |        104 |
| f:\class_code\embedded_system\keil\experient4\EMWIN\STemWin\inc\GUIDRV_FlexColor.h                               | CUDA C++      |        120 |        128 |         36 |        284 |
| f:\class_code\embedded_system\keil\experient4\EMWIN\STemWin\inc\GUIDRV_FlexColor_Private.h                       | CUDA C++      |        113 |        119 |         24 |        256 |
| f:\class_code\embedded_system\keil\experient4\EMWIN\STemWin\inc\GUIDRV_Generic.h                                 | CUDA C++      |        222 |        193 |         36 |        451 |
| f:\class_code\embedded_system\keil\experient4\EMWIN\STemWin\inc\GUIDRV_Lin.h                                     | CUDA C++      |        181 |         62 |         32 |        275 |
| f:\class_code\embedded_system\keil\experient4\EMWIN\STemWin\inc\GUIDRV_Lin_Opt_16.h                              | CUDA C++      |        127 |         83 |          7 |        217 |
| f:\class_code\embedded_system\keil\experient4\EMWIN\STemWin\inc\GUIDRV_Lin_Opt_24.h                              | CUDA C++      |        200 |         95 |          5 |        300 |
| f:\class_code\embedded_system\keil\experient4\EMWIN\STemWin\inc\GUIDRV_Lin_Opt_32.h                              | CUDA C++      |         71 |         65 |          5 |        141 |
| f:\class_code\embedded_system\keil\experient4\EMWIN\STemWin\inc\GUIDRV_Lin_Opt_8.h                               | CUDA C++      |        123 |         83 |          5 |        211 |
| f:\class_code\embedded_system\keil\experient4\EMWIN\STemWin\inc\GUIDRV_Lin_Private.h                             | CUDA C++      |        433 |        240 |         53 |        726 |
| f:\class_code\embedded_system\keil\experient4\EMWIN\STemWin\inc\GUIDRV_NoOpt_1_8.h                               | CUDA C++      |          9 |         52 |          7 |         68 |
| f:\class_code\embedded_system\keil\experient4\EMWIN\STemWin\inc\GUIDRV_Template.h                                | CUDA C++      |         10 |         62 |         12 |         84 |
| f:\class_code\embedded_system\keil\experient4\EMWIN\STemWin\inc\GUIDRV_TemplateI.h                               | CUDA C++      |         42 |         73 |         15 |        130 |
| f:\class_code\embedded_system\keil\experient4\EMWIN\STemWin\inc\GUIDRV_TemplateI_Private.h                       | CUDA C++      |         74 |        119 |         19 |        212 |
| f:\class_code\embedded_system\keil\experient4\EMWIN\STemWin\inc\GUITDRV_ADS7846.h                                | CUDA C++      |         40 |        127 |         14 |        181 |
| f:\class_code\embedded_system\keil\experient4\EMWIN\STemWin\inc\GUI_ARRAY.h                                      | CUDA C++      |         19 |         63 |          9 |         91 |
| f:\class_code\embedded_system\keil\experient4\EMWIN\STemWin\inc\GUI_ARRAY_Private.h                              | CUDA C++      |         14 |         64 |         10 |         88 |
| f:\class_code\embedded_system\keil\experient4\EMWIN\STemWin\inc\GUI_BMP_Private.h                                | CUDA C++      |         34 |         80 |         11 |        125 |
| f:\class_code\embedded_system\keil\experient4\EMWIN\STemWin\inc\GUI_ConfDefaults.h                               | CUDA C++      |         78 |         75 |         29 |        182 |
| f:\class_code\embedded_system\keil\experient4\EMWIN\STemWin\inc\GUI_Debug.h                                      | CUDA C++      |         99 |         88 |         24 |        211 |
| f:\class_code\embedded_system\keil\experient4\EMWIN\STemWin\inc\GUI_FontIntern.h                                 | CUDA C++      |         34 |         56 |         14 |        104 |
| f:\class_code\embedded_system\keil\experient4\EMWIN\STemWin\inc\GUI_GIF_Private.h                                | CUDA C++      |         52 |         80 |         12 |        144 |
| f:\class_code\embedded_system\keil\experient4\EMWIN\STemWin\inc\GUI_HOOK.h                                       | CUDA C++      |         19 |         64 |         14 |         97 |
| f:\class_code\embedded_system\keil\experient4\EMWIN\STemWin\inc\GUI_JPEG_Private.h                               | CUDA C++      |        158 |         93 |         24 |        275 |
| f:\class_code\embedded_system\keil\experient4\EMWIN\STemWin\inc\GUI_Private.h                                    | CUDA C++      |        350 |        207 |        113 |        670 |
| f:\class_code\embedded_system\keil\experient4\EMWIN\STemWin\inc\GUI_SIM_Win32.h                                  | CUDA C++      |         47 |         69 |         12 |        128 |
| f:\class_code\embedded_system\keil\experient4\EMWIN\STemWin\inc\GUI_SPRITE_Private.h                             | CUDA C++      |         13 |         67 |          8 |         88 |
| f:\class_code\embedded_system\keil\experient4\EMWIN\STemWin\inc\GUI_SetOrientation.h                             | CUDA C++      |         17 |         68 |          9 |         94 |
| f:\class_code\embedded_system\keil\experient4\EMWIN\STemWin\inc\GUI_SetOrientationCX.h                           | CUDA C++      |        438 |        153 |         33 |        624 |
| f:\class_code\embedded_system\keil\experient4\EMWIN\STemWin\inc\GUI_Type.h                                       | CUDA C++      |        427 |        155 |         74 |        656 |
| f:\class_code\embedded_system\keil\experient4\EMWIN\STemWin\inc\GUI_VNC.h                                        | CUDA C++      |         52 |         90 |         17 |        159 |
| f:\class_code\embedded_system\keil\experient4\EMWIN\STemWin\inc\GUI_Version.h                                    | CUDA C++      |          4 |         52 |          6 |         62 |
| f:\class_code\embedded_system\keil\experient4\EMWIN\STemWin\inc\Global.h                                         | CUDA C++      |         21 |         58 |          6 |         85 |
| f:\class_code\embedded_system\keil\experient4\EMWIN\STemWin\inc\HEADER.h                                         | CUDA C++      |         93 |        103 |         25 |        221 |
| f:\class_code\embedded_system\keil\experient4\EMWIN\STemWin\inc\HEADER_Private.h                                 | CUDA C++      |         61 |         69 |         19 |        149 |
| f:\class_code\embedded_system\keil\experient4\EMWIN\STemWin\inc\ICONVIEW.h                                       | CUDA C++      |         56 |         82 |         17 |        155 |
| f:\class_code\embedded_system\keil\experient4\EMWIN\STemWin\inc\ICONVIEW_Private.h                               | CUDA C++      |         56 |         71 |         14 |        141 |
| f:\class_code\embedded_system\keil\experient4\EMWIN\STemWin\inc\IMAGE.h                                          | CUDA C++      |         35 |         76 |         14 |        125 |
| f:\class_code\embedded_system\keil\experient4\EMWIN\STemWin\inc\IMAGE_Private.h                                  | CUDA C++      |         50 |         94 |         14 |        158 |
| f:\class_code\embedded_system\keil\experient4\EMWIN\STemWin\inc\KNOB.h                                           | CUDA C++      |         34 |         83 |         14 |        131 |
| f:\class_code\embedded_system\keil\experient4\EMWIN\STemWin\inc\KNOB_Private.h                                   | CUDA C++      |         44 |         69 |         11 |        124 |
| f:\class_code\embedded_system\keil\experient4\EMWIN\STemWin\inc\LCD.h                                            | CUDA C++      |        461 |        204 |         88 |        753 |
| f:\class_code\embedded_system\keil\experient4\EMWIN\STemWin\inc\LCD_ConfDefaults.h                               | CUDA C++      |         28 |         56 |          7 |         91 |
| f:\class_code\embedded_system\keil\experient4\EMWIN\STemWin\inc\LCD_Private.h                                    | CUDA C++      |         34 |         64 |         12 |        110 |
| f:\class_code\embedded_system\keil\experient4\EMWIN\STemWin\inc\LCD_Protected.h                                  | CUDA C++      |         57 |         68 |         17 |        142 |
| f:\class_code\embedded_system\keil\experient4\EMWIN\STemWin\inc\LCD_SIM.h                                        | CUDA C++      |         92 |        105 |         23 |        220 |
| f:\class_code\embedded_system\keil\experient4\EMWIN\STemWin\inc\LISTBOX.h                                        | CUDA C++      |         90 |        114 |         26 |        230 |
| f:\class_code\embedded_system\keil\experient4\EMWIN\STemWin\inc\LISTBOX_Private.h                                | CUDA C++      |         65 |         82 |         18 |        165 |
| f:\class_code\embedded_system\keil\experient4\EMWIN\STemWin\inc\LISTVIEW.h                                       | CUDA C++      |        104 |        101 |         19 |        224 |
| f:\class_code\embedded_system\keil\experient4\EMWIN\STemWin\inc\LISTVIEW_Private.h                               | CUDA C++      |        100 |         82 |         24 |        206 |
| f:\class_code\embedded_system\keil\experient4\EMWIN\STemWin\inc\LISTWHEEL.h                                      | CUDA C++      |         58 |         89 |         15 |        162 |
| f:\class_code\embedded_system\keil\experient4\EMWIN\STemWin\inc\LISTWHEEL_Private.h                              | CUDA C++      |         58 |         82 |         16 |        156 |
| f:\class_code\embedded_system\keil\experient4\EMWIN\STemWin\inc\MENU.h                                           | CUDA C++      |        116 |        149 |         27 |        292 |
| f:\class_code\embedded_system\keil\experient4\EMWIN\STemWin\inc\MENU_Private.h                                   | CUDA C++      |         79 |         98 |         20 |        197 |
| f:\class_code\embedded_system\keil\experient4\EMWIN\STemWin\inc\MESSAGEBOX.h                                     | CUDA C++      |         14 |         58 |         11 |         83 |
| f:\class_code\embedded_system\keil\experient4\EMWIN\STemWin\inc\MULTIEDIT.h                                      | CUDA C++      |         64 |         87 |         20 |        171 |
| f:\class_code\embedded_system\keil\experient4\EMWIN\STemWin\inc\MULTIPAGE.h                                      | CUDA C++      |        108 |         99 |         28 |        235 |
| f:\class_code\embedded_system\keil\experient4\EMWIN\STemWin\inc\MULTIPAGE_Private.h                              | CUDA C++      |         77 |        100 |         21 |        198 |
| f:\class_code\embedded_system\keil\experient4\EMWIN\STemWin\inc\PROGBAR.h                                        | CUDA C++      |         61 |        103 |         23 |        187 |
| f:\class_code\embedded_system\keil\experient4\EMWIN\STemWin\inc\PROGBAR_Private.h                                | CUDA C++      |         51 |         82 |         17 |        150 |
| f:\class_code\embedded_system\keil\experient4\EMWIN\STemWin\inc\RADIO.h                                          | CUDA C++      |         61 |        118 |         27 |        206 |
| f:\class_code\embedded_system\keil\experient4\EMWIN\STemWin\inc\RADIO_Private.h                                  | CUDA C++      |         90 |         95 |         30 |        215 |
| f:\class_code\embedded_system\keil\experient4\EMWIN\STemWin\inc\SCROLLBAR.h                                      | CUDA C++      |         71 |        120 |         26 |        217 |
| f:\class_code\embedded_system\keil\experient4\EMWIN\STemWin\inc\SCROLLBAR_Private.h                              | CUDA C++      |         88 |         94 |         26 |        208 |
| f:\class_code\embedded_system\keil\experient4\EMWIN\STemWin\inc\SLIDER.h                                         | CUDA C++      |         76 |        107 |         21 |        204 |
| f:\class_code\embedded_system\keil\experient4\EMWIN\STemWin\inc\SLIDER_Private.h                                 | CUDA C++      |         51 |         79 |         15 |        145 |
| f:\class_code\embedded_system\keil\experient4\EMWIN\STemWin\inc\SPINBOX.h                                        | CUDA C++      |         75 |        102 |         23 |        200 |
| f:\class_code\embedded_system\keil\experient4\EMWIN\STemWin\inc\SPINBOX_Private.h                                | CUDA C++      |         65 |         88 |         17 |        170 |
| f:\class_code\embedded_system\keil\experient4\EMWIN\STemWin\inc\TEXT.h                                           | CUDA C++      |         47 |        101 |         23 |        171 |
| f:\class_code\embedded_system\keil\experient4\EMWIN\STemWin\inc\TEXT_Private.h                                   | CUDA C++      |         34 |         69 |         11 |        114 |
| f:\class_code\embedded_system\keil\experient4\EMWIN\STemWin\inc\TREEVIEW.h                                       | CUDA C++      |        124 |        102 |         25 |        251 |
| f:\class_code\embedded_system\keil\experient4\EMWIN\STemWin\inc\TREEVIEW_Private.h                               | CUDA C++      |         78 |         78 |         17 |        173 |
| f:\class_code\embedded_system\keil\experient4\EMWIN\STemWin\inc\WIDGET.h                                         | CUDA C++      |        204 |        138 |         51 |        393 |
| f:\class_code\embedded_system\keil\experient4\EMWIN\STemWin\inc\WINDOW_Private.h                                 | CUDA C++      |          7 |         57 |          8 |         72 |
| f:\class_code\embedded_system\keil\experient4\EMWIN\STemWin\inc\WM.h                                             | CUDA C++      |        466 |        184 |        117 |        767 |
| f:\class_code\embedded_system\keil\experient4\EMWIN\STemWin\inc\WM_GUI.h                                         | CUDA C++      |         29 |         52 |         12 |         93 |
| f:\class_code\embedded_system\keil\experient4\EMWIN\STemWin\inc\WM_Intern.h                                      | CUDA C++      |        155 |         84 |         37 |        276 |
| f:\class_code\embedded_system\keil\experient4\FWLIB\CMSIS\Include\arm_common_tables.h                            | CUDA C++      |         47 |         39 |          8 |         94 |
